n_contigs	contig_bp	gap_pct	ctg_N50	ctg_L50	ctg_N90	ctg_L90	ctg_max	gc_avg	gc_std	filename
758	1491500	0.000	209	1972	619	1138	62301	0.59457	0.03677	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_119.fa
1857	29524806	0.000	329	24864	1207	6854	186837	0.72089	0.02599	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_11.fa
170	3198319	0.000	21	39937	84	8217	216291	0.36052	0.02461	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_120.fa
85	167632	0.000	23	2241	70	1106	9703	0.43081	0.05561	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_121.fa
12	23409	0.000	5	2075	10	1387	3299	0.48101	0.03413	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_122.fa
291	503996	0.000	102	1790	245	1132	8058	0.50457	0.04712	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_123.fa
7	11927	0.000	3	1848	6	1216	2906	0.45234	0.01044	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_124.fa
2345	3630447	0.000	802	1455	1993	1060	37857	0.47771	0.04772	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_125.fa
5	12486	0.000	2	2916	5	1322	4933	0.46973	0.02180	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_126.fa
211	1238585	0.000	43	8419	142	2780	35527	0.48476	0.01485	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_127.fa
1153	3105337	0.000	288	3054	891	1375	29472	0.38124	0.02513	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_128.fa
368	1933037	0.000	68	8168	245	2212	44501	0.53772	0.01990	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_129.fa
155	252364	0.000	50	1480	131	1080	32468	0.33892	0.05040	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_12.fa
19	83105	0.000	4	6403	13	2384	18843	0.53117	0.02149	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_130.fa
2632	3707838	0.000	1035	1375	2274	1061	6471	0.70769	0.03284	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_131.fa
5	23899	0.000	2	6249	4	2433	10631	0.40839	0.02740	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_132.fa
85	1027322	0.000	11	24732	50	4409	99637	0.43866	0.03042	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_133.fa
46	947630	0.000	5	40970	24	9618	269591	0.36706	0.05079	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_134.fa
4	6137	0.000	2	1802	4	1056	1986	0.60437	0.03426	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_135.fa
140	1837778	0.000	31	16710	101	6592	81711	0.24786	0.02308	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_136.fa
310	1038377	0.000	42	4807	221	1374	61299	0.40873	0.03314	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_137.fa
3010	8356136	0.000	872	3245	2346	1512	30822	0.70301	0.04382	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_138.fa
2	2357	0.000	1	1240	2	1117	1240	0.30759	0.03000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_139.fa
1	2622	0.000	1	2622	1	2622	2622	0.39550	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_13.fa
18	33616	0.000	7	2042	16	1250	3986	0.47156	0.02705	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_140.fa
12	21855	0.000	5	1899	10	1465	3679	0.58742	0.02303	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_141.fa
2143	4343902	0.000	612	2072	1741	1158	80936	0.39483	0.03788	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_142.fa
3	3493	0.000	2	1091	3	1048	1354	0.28715	0.00760	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_143.fa
344	1798937	0.000	33	11744	212	1835	63114	0.44119	0.04623	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_144.fa
4	31681	0.000	2	9400	3	5541	15286	0.61485	0.00472	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_145.fa
1	1175	0.000	1	1175	1	1175	1175	0.22809	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_146.fa
23	1796212	0.000	2	497740	4	110003	833626	0.44274	0.02963	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_147.fa
8	11900	0.000	4	1548	7	1078	2459	0.46269	0.03682	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_148.fa
613	1343075	0.000	142	2329	487	1133	24638	0.65695	0.04376	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_149.fa
143	1046418	0.000	6	50276	74	2237	115271	0.44735	0.03651	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_14.fa
866	3483249	0.000	163	4960	621	1873	63463	0.61639	0.03903	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_150.fa
1447	2944787	0.000	418	2199	1176	1164	22183	0.22222	0.03734	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_151.fa
1	46592	0.000	1	46592	1	46592	46592	0.55995	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_152.fa
2	30850	0.000	1	25982	2	4868	25982	0.34872	0.02525	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_153.fa
1	1017	0.000	1	1017	1	1017	1017	0.43953	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_154.fa
1	1169	0.000	1	1169	1	1169	1169	0.53122	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_155.fa
138	763306	0.000	28	7940	92	2437	32162	0.25037	0.02393	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_156.fa
194	2933165	0.000	31	26158	113	6801	119097	0.48857	0.04297	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_157.fa
129	452963	0.000	35	4055	98	1941	14338	0.50099	0.03267	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_158.fa
33	97842	0.000	9	3605	25	1487	12831	0.39904	0.03382	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_159.fa
474	4191234	0.000	38	21166	275	3160	156973	0.36349	0.02419	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_15.fa
1403	4449686	0.000	208	4167	1020	1329	85077	0.26999	0.03724	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_160.fa
43	1075810	0.000	4	81369	20	9842	194769	0.28875	0.02639	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_161.fa
121	1047398	0.000	17	14636	75	3828	90371	0.34659	0.03616	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_162.fa
17	23710	0.000	7	1384	15	1088	2286	0.40624	0.03453	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_163.fa
1991	4154520	0.000	500	2152	1602	1139	48830	0.38606	0.04245	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_164.fa
895	10392785	0.000	133	17428	597	4823	253290	0.53843	0.02852	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_165.fa
400	1590209	0.000	52	5880	276	1594	56179	0.38886	0.02730	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_166.fa
21	241885	0.000	4	28212	10	5646	41985	0.55672	0.03474	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_167.fa
44	202487	0.000	4	21342	28	1754	45075	0.57014	0.04793	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_168.fa
9	19934	0.000	3	2221	8	1078	6838	0.45074	0.05564	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_169.fa
189	1796293	0.000	19	24387	104	3328	116238	0.32984	0.02926	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_16.fa
218	429199	0.000	71	2126	180	1211	5756	0.42017	0.04412	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_170.fa
2611	4847152	0.000	848	1906	2161	1151	25072	0.35300	0.02205	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_171.fa
36	538733	0.000	8	21588	22	9081	58917	0.51425	0.02091	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_172.fa
520	1465342	0.000	112	3250	395	1420	51479	0.47019	0.03022	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_173.fa
16	28609	0.000	5	2295	14	1077	3927	0.44339	0.04646	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_174.fa
108	340747	0.000	30	3757	85	1772	16728	0.54940	0.03501	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_175.fa
773	6909485	0.000	176	12372	552	4396	56159	0.33662	0.02547	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_176.fa
6	40895	0.000	2	11939	4	5796	12255	0.46786	0.02734	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_177.fa
330	4609994	0.000	42	28514	187	5567	181586	0.44321	0.02775	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_178.fa
129	292229	0.000	30	2519	103	1194	8951	0.43525	0.03656	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_179.fa
1827	4102615	0.000	496	2411	1456	1220	27566	0.41924	0.03281	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_17.fa
629	2477578	0.000	94	6512	433	1572	49446	0.36821	0.02576	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_180.fa
54	155301	0.000	11	3216	42	1408	22958	0.39287	0.03143	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_181.fa
162	406486	0.000	37	3012	126	1223	15899	0.46995	0.02946	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_182.fa
78	446514	0.000	8	14515	47	1948	58677	0.40854	0.01990	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_183.fa
109	382501	0.000	16	6302	77	1435	18787	0.47708	0.06533	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_184.fa
196	321353	0.000	63	1567	165	1063	11192	0.47251	0.05242	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_185.fa
1	1096	0.000	1	1096	1	1096	1096	0.54927	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_186.fa
1	1040	0.000	1	1040	1	1040	1040	0.59423	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_187.fa
86	454182	0.000	18	7632	61	2529	39857	0.68829	0.02287	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_188.fa
2606	4900592	0.000	827	1936	2151	1153	43412	0.63405	0.03088	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_189.fa
284	1432296	0.000	47	8664	184	2034	54623	0.50162	0.01436	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_18.fa
5	42226	0.000	1	29132	2	9599	29132	0.60041	0.02183	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_190.fa
398	5340941	0.000	28	39418	216	4729	225681	0.35013	0.03993	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_191.fa
6	14635	0.000	2	3452	5	1393	5679	0.30646	0.03293	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_192.fa
2092	3782449	0.000	681	1892	1738	1125	12105	0.40821	0.02089	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_193.fa
25	31235	0.000	11	1179	22	1047	2278	0.69810	0.05634	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_194.fa
226	1291688	0.000	21	14007	134	1948	82844	0.36867	0.02496	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_195.fa
323	3306591	0.000	38	22441	179	3950	118141	0.40763	0.04350	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_196.fa
3069	5009353	0.000	1050	1599	2591	1092	12156	0.39860	0.03496	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_197.fa
110	375822	0.000	20	4783	80	1467	40801	0.43234	0.03378	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_198.fa
91	542049	0.000	14	14352	55	2208	35746	0.45440	0.03220	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_199.fa
9	12458	0.000	4	1246	8	1082	2242	0.68406	0.03395	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_19.fa
527	3415753	0.000	66	12560	329	2504	112367	0.36800	0.03288	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_1.fa
98	241483	0.000	25	2719	77	1301	13678	0.52413	0.04157	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_200.fa
194	1469888	0.000	31	14523	118	3095	70501	0.50022	0.02636	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_201.fa
125	275983	0.000	38	2405	101	1288	7636	0.35514	0.02531	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_202.fa
426	1656586	0.000	98	4955	313	1878	43993	0.51732	0.01948	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_203.fa
83	1520249	0.000	7	42998	41	7367	274855	0.32006	0.02535	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_204.fa
5	8335	0.000	2	1748	5	1060	2877	0.65039	0.01883	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_205.fa
50	153723	0.000	6	4902	37	1202	28762	0.41185	0.02561	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_206.fa
9734	16222052	0.000	3234	1645	8179	1084	31503	0.31251	0.04212	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_207.fa
82	550186	0.000	9	17335	47	2656	78082	0.40506	0.03093	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_208.fa
79	308858	0.000	4	22790	53	1351	75102	0.61876	0.03461	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_209.fa
98	147945	0.000	33	1327	85	1056	5831	0.64089	0.03261	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_20.fa
80	164963	0.000	24	2137	65	1205	6790	0.43694	0.02900	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_210.fa
460	991820	0.000	119	2421	369	1140	18268	0.39106	0.05524	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_211.fa
10	21398	0.000	2	4646	8	1139	6084	0.37116	0.03704	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_212.fa
280	4171202	0.000	28	37303	153	5768	249903	0.45995	0.02283	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_213.fa
2486	3553674	0.000	968	1400	2143	1064	4650	0.74833	0.02578	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_214.fa
62	1394206	0.000	9	45369	31	10967	134700	0.60197	0.01650	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_215.fa
3	15105	0.000	1	12137	2	1614	12137	0.32320	0.02500	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_216.fa
407	2216800	0.000	95	6891	298	2668	62934	0.57314	0.02589	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_217.fa
1462	2806236	0.000	409	1865	1198	1129	26984	0.30374	0.05028	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_218.fa
45	1381936	0.000	9	51457	26	16250	128290	0.56932	0.02181	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_219.fa
603	3197513	0.000	88	8065	395	2275	112358	0.31511	0.02277	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_21.fa
239	1047030	0.000	38	6150	163	1889	85320	0.42753	0.02803	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_220.fa
894	11608933	0.000	105	22987	552	5177	227137	0.40121	0.03073	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_221.fa
23	79490	0.000	3	4380	17	1525	19847	0.44292	0.03347	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_222.fa
50	204281	0.000	10	6549	34	1697	23829	0.33595	0.04459	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_223.fa
142	270754	0.000	40	1842	117	1105	9435	0.50546	0.05360	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_224.fa
326	561034	0.000	102	1635	273	1099	16788	0.57796	0.04299	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_225.fa
294	702308	0.000	84	2875	233	1305	8232	0.50481	0.04948	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_226.fa
80	242082	0.000	20	3670	61	1451	15095	0.35366	0.03272	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_22.fa
48	367735	0.000	2	73966	19	1615	132694	0.44731	0.07337	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_23.fa
2777	4771361	0.000	965	1755	2329	1129	22324	0.51848	0.02129	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_24.fa
100	2691229	0.000	15	62417	47	11911	214110	0.40738	0.02555	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_25.fa
5	12020	0.000	2	3259	4	1521	4388	0.56739	0.02411	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_26.fa
2	2267	0.000	1	1185	2	1082	1185	0.48390	0.00650	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_27.fa
22	343045	0.000	2	79851	11	5676	99757	0.50274	0.04130	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_28.fa
4617	10740842	0.000	1362	2612	3676	1301	33083	0.71691	0.03897	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_29.fa
539	2054762	0.000	136	4955	396	1874	20307	0.40265	0.02587	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_2.fa
78	281842	0.000	13	5391	56	1490	33489	0.44706	0.04726	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_30.fa
1	1221	0.000	1	1221	1	1221	1221	0.64292	0.00000	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_31.fa
281	654244	0.000	58	2525	221	1182	25032	0.38837	0.02876	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_32.fa
130	309107	0.000	30	3011	101	1119	14156	0.49308	0.03530	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_33.fa
254	397268	0.000	81	1399	216	1054	14417	0.42993	0.07600	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_34.fa
1131	3003532	0.000	263	3136	870	1309	25330	0.62999	0.02203	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_35.fa
261	398454	0.000	95	1471	223	1078	5469	0.33781	0.02566	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_36.fa
2442	29559824	0.000	601	15621	1783	6235	85905	0.71657	0.02025	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_37.fa
8	36779	0.000	3	5492	6	2346	9861	0.63422	0.01156	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_38.fa
456	2964247	0.000	64	10225	298	2694	127615	0.44157	0.02019	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_39.fa
8	9694	0.000	4	1163	8	1010	1884	0.65112	0.04754	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_3.fa
53	108626	0.000	18	2174	44	1251	5578	0.37494	0.04424	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_40.fa
16	51821	0.000	4	3565	12	1538	14124	0.45312	0.05538	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_41.fa
111	469506	0.000	26	5487	80	2022	14066	0.50809	0.03265	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_42.fa
1958	5064411	0.000	435	2986	1511	1273	48315	0.52764	0.04357	/srv/beegfs/scratch/users/s/saini7/MS2/NON_Comp_Bins/11m_NC_Bin_43.fa
