"MAG","classification","reason","lineage","lineage.scores","superkingdom","confidence","phylum","class","order","family","genus","species","Depth","category","n_contigs","contig_bp","gap_pct","ctg_N50","ctg_L50","ctg_N90","ctg_L90","ctg_max","gc_avg","gc_std","size_mbp","Dataset","Complete","Single","Duplicated","Fragmented","Missing","n_markers","Scores_bacteria_odb10","Scores_archaea_odb10","Scores_eukaryota_odb10"
"13m_Bin_118-contigs","taxid assigned","based on 4285/6321 ORFs","1;131567;2;1783270;68336;976","1.00;0.88;0.84;0.33;0.33;0.32","Bacteria","0.84","Bacteroidetes: 0.32","no support","no support","no support","no support","no support","13m","CB",2668,4436240,0,917,1672,2249,1096,9350,0.31371,0.05631,4.43624,"bacteria_odb10","9.7","8.9","0.8","9.7","80.6","124","C:9.7%[S:8.9%,D:0.8%],F:9.7%,M:80.6%,n:124","C:4.1%[S:2.6%,D:1.5%],F:1.5%,M:94.4%,n:194","C:0.4%[S:0.4%,D:0.0%],F:2.0%,M:97.6%,n:255"
"13m_Bin_12-contigs","taxid assigned","based on 717/894 ORFs","1;131567;2759;3027;589350;2896;3030;233186","1.00;0.82;0.69;0.68;0.55;0.55;0.55;0.52","Eukaryota","0.69",NA,"Cryptophyceae: 0.68","Cryptomonadales: 0.55","Cryptomonadaceae: 0.55","Cryptomonas: 0.55","Cryptomonas curvata: 0.52","13m","CB",221,647850,0,35,4627,163,1237,25386,0.34152,0.03706,0.64785,"bacteria_odb10","34.6","5.6","29.0","2.4","63.0","124","C:34.6%[S:5.6%,D:29.0%],F:2.4%,M:63.0%,n:124","C:0.5%[S:0.5%,D:0.0%],F:1.5%,M:98.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255"
"13m_Bin_123-contigs","taxid assigned","based on 193/1410 ORFs","1;131567;2","1.00;0.94;0.63","Bacteria","0.63","no support","no support","no support","no support","no support","no support","13m","CB",684,1169464,0,231,1712,575,1111,6326,0.52445,0.05956,1.169464,"Check_logs","-","-","-","-","-","-","-","-","-"
"13m_Bin_124-contigs","taxid assigned","based on 1432/1917 ORFs","1;131567;2;1224;68525;28221","1.00;0.99;0.97;0.78;0.45;0.45","Bacteria","0.97","Proteobacteria: 0.78","Deltaproteobacteria: 0.45","no support","no support","no support","no support","13m","CB",859,1312674,0,299,1443,732,1062,24229,0.70936,0.02627,1.312674,"bacteria_odb10","5.6","5.6","0.0","12.9","81.5","124","C:5.6%[S:5.6%,D:0.0%],F:12.9%,M:81.5%,n:124","C:2.1%[S:2.1%,D:0.0%],F:3.6%,M:94.3%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
"13m_Bin_125-contigs","taxid assigned","based on 2108/3822 ORFs","1;131567;2","1.00;0.71;0.65","Bacteria","0.65","no support","no support","no support","no support","no support","no support","13m","CB",211,2975202,0,28,27903,125,6227,197787,0.26658,0.02733,2.975202,"archaea_odb10","4.1","3.1","1.0","0.0","95.9","194","C:4.0%[S:2.4%,D:1.6%],F:1.6%,M:94.4%,n:124","C:4.1%[S:3.1%,D:1.0%],F:0.0%,M:95.9%,n:194","C:1.2%[S:0.4%,D:0.8%],F:0.0%,M:98.8%,n:255"
"13m_Bin_126-contigs","taxid assigned","based on 11385/11704 ORFs","1;131567;2;1224;28216;80840","1.00;1.00;0.99;0.87;0.66;0.31","Bacteria","0.99","Proteobacteria: 0.87","Betaproteobacteria: 0.66","Burkholderiales: 0.31","no support","no support","no support","13m","CB",1803,10739269,0,409,6889,1348,3100,74451,0.58943,0.03911,10.739269,"bacteria_odb10","96.7","17.7","79.0","1.6","1.7","124","C:96.7%[S:17.7%,D:79.0%],F:1.6%,M:1.7%,n:124","C:19.1%[S:7.2%,D:11.9%],F:3.1%,M:77.8%,n:194","C:5.9%[S:1.6%,D:4.3%],F:2.4%,M:91.7%,n:255"
"13m_Bin_128-contigs","taxid assigned","based on 1315/1624 ORFs","1;131567;2;2323;1783234;1783273;363464;1046947;2044595","1.00;0.97;0.95;0.83;0.83;0.82;0.81;0.81;0.78","Bacteria","0.95","Candidatus Gracilibacteria: 0.81",NA,NA,NA,NA,"Candidatus Gracilibacteria bacterium: 0.78","13m","CB",90,1809708,0,16,36706,54,10342,82431,0.24956,0.02531,1.809708,"mollicutes_odb10","47.0","45.7","1.3","2.6","50.4","151","C:53.2%[S:52.4%,D:0.8%],F:16.1%,M:30.7%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:255"
"13m_Bin_129-contigs","taxid assigned","based on 548/1529 ORFs","1;131567;2759;33090;3041;2692248;75966;35460;35461;2511126;3071;1962113;1650286","1.00;1.00;0.75;0.73;0.72;0.72;0.66;0.64;0.64;0.59;0.43;0.31;0.31","Eukaryota","0.75","Chlorophyta: 0.72","Trebouxiophyceae: 0.66","Chlorellales: 0.64","Chlorellaceae: 0.64","Chlorella: 0.43","Chlorella desiccata (nom. nud.): 0.31","13m","CB",643,1347101,0,210,2257,525,1259,9688,0.68893,0.05798,1.347101,"eukaryota_odb10","0.8","0.8","0.0","2.4","96.8","255","C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.6%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.0%,M:99.5%,n:194","C:0.8%[S:0.8%,D:0.0%],F:2.4%,M:96.8%,n:255"
"13m_Bin_130-contigs","taxid assigned","based on 4437/4929 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.97;0.77;0.77;0.75","Bacteria","0.97","Bacteroidetes: 0.75","no support","no support","no support","no support","no support","13m","CB",1748,4259618,0,449,2724,1373,1287,17852,0.43135,0.02948,4.259618,"bacteria_odb10","65.3","54.8","10.5","15.3","19.4","124","C:65.3%[S:54.8%,D:10.5%],F:15.3%,M:19.4%,n:124","C:11.8%[S:10.3%,D:1.5%],F:5.7%,M:82.5%,n:194","C:2.0%[S:2.0%,D:0.0%],F:3.1%,M:94.9%,n:255"
"13m_Bin_132-contigs","taxid assigned","based on 2304/3477 ORFs","1;131567;2","1.00;0.74;0.69","Bacteria","0.69","no support","no support","no support","no support","no support","no support","13m","CB",485,2387481,0,69,7814,319,2048,71332,0.32159,0.02646,2.387481,"bacteria_odb10","1.6","1.6","0.0","0.8","97.6","124","C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.6%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.5%,M:99.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_Bin_133-contigs","taxid assigned","based on 1009/1706 ORFs","1;131567;2;1783270;68336","1.00;0.83;0.76;0.33;0.33","Bacteria","0.76","no support","no support","no support","no support","no support","no support","13m","CB",351,1280276,0,39,5652,243,1377,53402,0.33405,0.03209,1.280276,"bacteria_odb10","2.4","2.4","0.0","2.4","95.2","124","C:2.4%[S:2.4%,D:0.0%],F:2.4%,M:95.2%,n:124","C:0.5%[S:0.0%,D:0.5%],F:0.0%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_Bin_134-contigs","taxid assigned","based on 722/781 ORFs","1;131567;2;2323;1783234;95818;1895827","1.00;0.99;0.99;0.87;0.87;0.81;0.78","Bacteria","0.99","Candidatus Saccharibacteria: 0.81","no support","no support","no support","no support","no support","13m","CB",160,708807,0,44,5681,119,2256,16280,0.4026,0.01995,0.708807,"bacteria_odb10","41.1","41.1","0.0","12.1","46.8","124","C:41.1%[S:41.1%,D:0.0%],F:12.1%,M:46.8%,n:124","C:5.7%[S:5.7%,D:0.0%],F:2.1%,M:92.2%,n:194","C:1.2%[S:1.2%,D:0.0%],F:0.0%,M:98.8%,n:255"
"13m_Bin_135-contigs","taxid assigned","based on 9618/11209 ORFs","1;131567;2;1783270;68336;976","1.00;0.99;0.96;0.58;0.57;0.49","Bacteria","0.96","Bacteroidetes: 0.49","no support","no support","no support","no support","no support","13m","CB",5306,7971087,0,1977,1479,4541,1072,6833,0.3717,0.05331,7.971087,"bacteria_odb10","66.9","40.3","26.6","22.6","10.5","124","C:66.9%[S:40.3%,D:26.6%],F:22.6%,M:10.5%,n:124","C:11.3%[S:8.2%,D:3.1%],F:9.8%,M:78.9%,n:194","C:3.5%[S:3.1%,D:0.4%],F:2.0%,M:94.5%,n:255"
"13m_Bin_136-contigs","taxid assigned","based on 796/1164 ORFs","1;131567;2","1.00;0.68;0.62","Bacteria","0.62","no support","no support","no support","no support","no support","no support","13m","CB",132,989210,0,19,12086,78,2960,126264,0.34954,0.03697,0.98921,"archaea_odb10","2.1","2.1","0.0","1.0","96.9","194","C:1.6%[S:1.6%,D:0.0%],F:0.8%,M:97.6%,n:124","C:2.1%[S:2.1%,D:0.0%],F:1.0%,M:96.9%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.0%,M:99.2%,n:255"
"13m_Bin_137-contigs","taxid assigned","based on 3457/4026 ORFs","1;131567;2;1783272;201174;1760;52018;1883427","1.00;0.99;0.97;0.69;0.68;0.57;0.32;0.32","Bacteria","0.97","Actinobacteria: 0.68","Actinomycetia: 0.57",NA,NA,NA,"Actinobacteria bacterium: 0.32","13m","CB",1959,2750514,0,766,1364,1696,1055,5047,0.44047,0.049,2.750514,"bacteria_odb10","29.8","25.8","4.0","21.0","49.2","124","C:29.8%[S:25.8%,D:4.0%],F:21.0%,M:49.2%,n:124","C:6.7%[S:6.2%,D:0.5%],F:4.1%,M:89.2%,n:194","C:0.4%[S:0.4%,D:0.0%],F:2.4%,M:97.2%,n:255"
"13m_Bin_139-contigs","taxid assigned","based on 505/1162 ORFs","1;131567;2","1.00;0.87;0.60","Bacteria","0.60","no support","no support","no support","no support","no support","no support","13m","CB",482,927415,0,142,1956,396,1135,14225,0.29688,0.04989,0.927415,"bacteria_odb10","7.3","7.3","0.0","10.5","82.2","124","C:7.3%[S:7.3%,D:0.0%],F:10.5%,M:82.2%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_Bin_14-contigs","taxid assigned","based on 7857/8491 ORFs","1;131567;2;1224;1236;135618","1.00;0.98;0.98;0.78;0.66;0.61","Bacteria","0.98","Proteobacteria: 0.78","Gammaproteobacteria: 0.66","Methylococcales: 0.61","no support","no support","no support","13m","CB",784,8746865,0,97,20359,483,4451,164594,0.40422,0.03221,8.746865,"bacteria_odb10","99.2","8.1","91.1","0.0","0.8","124","C:99.2%[S:8.1%,D:91.1%],F:0.0%,M:0.8%,n:124","C:19.0%[S:4.1%,D:14.9%],F:6.2%,M:74.8%,n:194","C:5.5%[S:2.0%,D:3.5%],F:1.6%,M:92.9%,n:255"
"13m_Bin_140-contigs","taxid assigned","based on 3164/3294 ORFs","1;131567;2;57723;533205;574975;574976;1951928;2052165*","1.00;1.00;1.00;0.98;0.88;0.88;0.88;0.82;0.82","Bacteria","1.00","Acidobacteria: 0.98","Holophagae: 0.88","Holophagales: 0.88","Holophagaceae: 0.88",NA,"Holophagaceae bacterium*: 0.82","13m","CB",541,3206828,0,113,8857,364,2700,34397,0.68154,0.02726,3.206828,"bacteria_odb10","83.9","83.1","0.8","11.3","4.8","124","C:83.9%[S:83.1%,D:0.8%],F:11.3%,M:4.8%,n:124","C:14.9%[S:14.9%,D:0.0%],F:3.6%,M:81.5%,n:194","C:3.1%[S:3.1%,D:0.0%],F:1.2%,M:95.7%,n:255"
"13m_Bin_141-contigs","taxid assigned (2/2)","based on 799/972 ORFs","1;131567;2;1783272;201174;1760","1.00;0.53;0.52;0.34;0.33;0.30","Bacteria","0.52","Actinobacteria: 0.33","Actinomycetia: 0.30","no support","no support","no support","no support","13m","CB",317,732157,0,72,2713,251,1152,24636,0.45569,0.04574,0.732157,"bacteria_odb10","2.4","2.4","0.0","3.2","94.4","124","C:2.4%[S:2.4%,D:0.0%],F:3.2%,M:94.4%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_Bin_144-contigs","taxid assigned","based on 1038/1563 ORFs","1;131567;2;1783257;74201","1.00;0.95;0.91;0.51;0.49","Bacteria","0.91","Verrucomicrobia: 0.49","no support","no support","no support","no support","no support","13m","CB",529,1339766,0,98,3152,405,1169,36798,0.59948,0.03922,1.339766,"bacteria_odb10","4.0","4.0","0.0","7.3","88.7","124","C:4.0%[S:4.0%,D:0.0%],F:7.3%,M:88.7%,n:124","C:1.0%[S:1.0%,D:0.0%],F:0.0%,M:99.0%,n:194","C:1.6%[S:1.6%,D:0.0%],F:0.4%,M:98.0%,n:255"
"13m_Bin_145-contigs","taxid assigned","based on 1707/1896 ORFs","1;131567;2;1783270;68336;976;1853228","1.00;0.96;0.95;0.83;0.83;0.83;0.78","Bacteria","0.95","Bacteroidetes: 0.83","Chitinophagia: 0.78","no support","no support","no support","no support","13m","CB",709,1269551,0,230,1852,591,1126,10119,0.35422,0.02749,1.269551,"bacteria_odb10","19.3","17.7","1.6","15.3","65.4","124","C:19.3%[S:17.7%,D:1.6%],F:15.3%,M:65.4%,n:124","C:3.6%[S:3.6%,D:0.0%],F:2.6%,M:93.8%,n:194","C:0.8%[S:0.8%,D:0.0%],F:0.4%,M:98.8%,n:255"
"13m_Bin_147-contigs","taxid assigned","based on 1168/1906 ORFs","1;131567;2;1783270;68336;976","1.00;0.81;0.75;0.37;0.36;0.36","Bacteria","0.75","Bacteroidetes: 0.36","no support","no support","no support","no support","no support","13m","CB",749,1164378,0,267,1499,640,1076,10654,0.29525,0.04083,1.164378,"bacteria_odb10","1.6","1.6","0.0","4.8","93.6","124","C:1.6%[S:1.6%,D:0.0%],F:4.8%,M:93.6%,n:124","C:0.5%[S:0.5%,D:0.0%],F:1.0%,M:98.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_Bin_148-contigs","taxid assigned","based on 761/1084 ORFs","1;131567;2;1783272;201174;1760;52018;1883427","1.00;0.85;0.81;0.35;0.34;0.34;0.34;0.34","Bacteria","0.81","Actinobacteria: 0.34","Actinomycetia: 0.34",NA,NA,NA,"Actinobacteria bacterium: 0.34","13m","CB",278,966333,0,62,4426,203,1666,21664,0.47919,0.04994,0.966333,"archaea_odb10","2.0","1.0","1.0","0.0","98.0","194","C:0.8%[S:0.0%,D:0.8%],F:1.6%,M:97.6%,n:124","C:2.0%[S:1.0%,D:1.0%],F:0.0%,M:98.0%,n:194","C:0.4%[S:0.4%,D:0.0%],F:0.0%,M:99.6%,n:255"
"13m_Bin_149-contigs","taxid assigned","based on 1772/1996 ORFs","1;131567;2;1783272;201174;1760;52018","1.00;0.98;0.97;0.63;0.62;0.54;0.30","Bacteria","0.97","Actinobacteria: 0.62","Actinomycetia: 0.54","no support","no support","no support","no support","13m","CB",816,1615674,0,235,2051,666,1146,11981,0.444,0.03132,1.615674,"bacteria_odb10","16.9","16.1","0.8","4.0","79.1","124","C:16.9%[S:16.1%,D:0.8%],F:4.0%,M:79.1%,n:124","C:5.6%[S:4.6%,D:1.0%],F:2.1%,M:92.3%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_Bin_150-contigs","taxid assigned","based on 342/1500 ORFs","1;131567;2","1.00;0.97;0.65","Bacteria","0.65","no support","no support","no support","no support","no support","no support","13m","CB",523,1681905,0,110,4141,382,1466,27427,0.55907,0.08833,1.681905,"Check_logs","-","-","-","-","-","-","-","-","-"
"13m_Bin_151-contigs","taxid assigned","based on 2448/2641 ORFs","1;131567;2;1783270;68336;976;1853228","1.00;0.92;0.91;0.83;0.83;0.83;0.67","Bacteria","0.91","Bacteroidetes: 0.83","Chitinophagia: 0.67","no support","no support","no support","no support","13m","CB",939,1997562,0,259,2347,756,1180,14766,0.35065,0.02686,1.997562,"bacteria_odb10","25.0","25.0","0.0","12.9","62.1","124","C:25.0%[S:25.0%,D:0.0%],F:12.9%,M:62.1%,n:124","C:5.1%[S:4.1%,D:1.0%],F:5.7%,M:89.2%,n:194","C:2.0%[S:2.0%,D:0.0%],F:1.2%,M:96.8%,n:255"
"13m_Bin_154-contigs","taxid assigned","based on 6162/6294 ORFs","1;131567;2;1783272;201174","1.00;1.00;1.00;0.77;0.77","Bacteria","1.00","Actinobacteria: 0.77","no support","no support","no support","no support","no support","13m","CB",1231,5539863,0,196,7077,822,1827,47458,0.51215,0.01552,5.539863,"bacteria_odb10","94.4","22.6","71.8","2.4","3.2","124","C:94.4%[S:22.6%,D:71.8%],F:2.4%,M:3.2%,n:124","C:21.7%[S:5.7%,D:16.0%],F:2.6%,M:75.7%,n:194","C:4.3%[S:0.8%,D:3.5%],F:1.6%,M:94.1%,n:255"
"13m_Bin_158-contigs","taxid assigned","based on 1622/2520 ORFs","1;131567;2","1.00;0.71;0.64","Bacteria","0.64","no support","no support","no support","no support","no support","no support","13m","CB",639,1917679,0,134,3688,475,1364,33056,0.29287,0.03908,1.917679,"archaea_odb10","2.1","2.1","0.0","0.5","97.4","194","C:1.6%[S:1.6%,D:0.0%],F:1.6%,M:96.8%,n:124","C:2.1%[S:2.1%,D:0.0%],F:0.5%,M:97.4%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.4%,M:99.6%,n:255"
"13m_Bin_16-contigs","taxid assigned (1/2)","based on 3296/3973 ORFs","1;131567;2;2323;1783234;1783273","1.00;0.99;0.96;0.49;0.49;0.42","Bacteria","0.96","no support","no support","no support","no support","no support","no support","13m","CB",424,3906139,0,84,11875,302,4318,154316,0.33208,0.02256,3.906139,"mollicutes_odb10","68.9","17.9","51.0","1.3","29.8","151","C:74.2%[S:32.3%,D:41.9%],F:5.6%,M:20.2%,n:124","C:11.3%[S:6.7%,D:4.6%],F:4.1%,M:84.6%,n:194","C:1.6%[S:1.2%,D:0.4%],F:0.8%,M:97.6%,n:255"
"13m_Bin_161-contigs","taxid assigned","based on 175/1646 ORFs","1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657;2172821;72037;6830;116569;116571","1.00;0.94;0.84;0.82;0.80;0.80;0.76;0.73;0.69;0.69;0.69;0.64;0.64;0.49;0.47;0.47;0.46;0.46;0.44","Eukaryota","0.84","Arthropoda: 0.69","Hexanauplia: 0.47","no support","no support","no support","no support","13m","CB",1703,2394493,0,675,1370,1471,1059,4260,0.36828,0.02205,2.394493,"Check_logs","-","-","-","-","-","-","-","-","-"
"13m_Bin_163-contigs","taxid assigned","based on 2895/3072 ORFs","1;131567;2;1783272;200795","1.00;1.00;1.00;0.63;0.62","Bacteria","1.00","Chloroflexi: 0.62","no support","no support","no support","no support","no support","13m","CB",890,2392188,0,224,3163,684,1361,20752,0.62151,0.03153,2.392188,"bacteria_odb10","71.8","39.5","32.3","15.3","12.9","124","C:71.8%[S:39.5%,D:32.3%],F:15.3%,M:12.9%,n:124","C:9.8%[S:5.2%,D:4.6%],F:5.2%,M:85.0%,n:194","C:3.2%[S:2.0%,D:1.2%],F:1.2%,M:95.6%,n:255"
"13m_Bin_165-contigs","taxid assigned","based on 2336/6150 ORFs","1;131567;2759;2698737","1.00;0.93;0.60;0.47","Eukaryota","0.60","no support","no support","no support","no support","no support","no support","13m","CB",3289,5530168,0,1063,1638,2760,1083,13741,0.50353,0.05873,5.530168,"eukaryota_odb10","6.3","6.3","0.0","5.1","88.6","255","C:6.5%[S:6.5%,D:0.0%],F:10.5%,M:83.0%,n:124","C:4.1%[S:4.1%,D:0.0%],F:2.1%,M:93.8%,n:194","C:6.3%[S:6.3%,D:0.0%],F:5.1%,M:88.6%,n:255"
"13m_Bin_167-contigs","taxid assigned","based on 1139/1660 ORFs","1;131567;2","1.00;0.77;0.76","Bacteria","0.76","no support","no support","no support","no support","no support","no support","13m","CB",185,1306520,0,14,26621,105,2382,131336,0.31973,0.02839,1.30652,"bacteria_odb10","0.8","0.8","0.0","0.8","98.4","124","C:0.8%[S:0.8%,D:0.0%],F:0.8%,M:98.4%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
