"MAG","classification","reason","lineage","lineage.scores","superkingdom","confidence","phylum","class","order","family","genus","species","Depth.x","category","n_contigs","contig_bp","gap_pct","ctg_N50","ctg_L50","ctg_N90","ctg_L90","ctg_max","gc_avg","gc_std","size_mbp","Dataset","Complete","Single","Duplicated","Fragmented","Missing","n_markers","Scores_bacteria_odb10","Scores_archaea_odb10","Scores_eukaryota_odb10"
"13m_117.fa","taxid assigned","based on 3941/4254 ORFs","1;131567;2;1224;2008785;119069;1798413;1970530","1.00;0.99;0.99;0.86;0.54;0.54;0.54;0.49","Bacteria","0.99","Proteobacteria: 0.86","Hydrogenophilalia: 0.54","Hydrogenophilales: 0.54",NA,NA,"Hydrogenophilales bacterium 28-61-23: 0.49","13m","NCB",958,3647068,0,208,4855,704,1842,35964,0.57088,0.03471,3.647068,"bacteria_odb10","66.9","66.1","0.8","8.9","24.2","124","C:66.9%[S:66.1%,D:0.8%],F:8.9%,M:24.2%,n:124","C:13.4%[S:12.9%,D:0.5%],F:4.6%,M:82.0%,n:194","C:4.3%[S:4.3%,D:0.0%],F:2.0%,M:93.7%,n:255"
"13m_118.fa","taxid assigned","based on 4445/4572 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.98;0.81;0.81;0.81","Bacteria","0.98","Bacteroidetes: 0.81","no support","no support","no support","no support","no support","13m","NCB",239,5071369,0,19,51795,121,7675,343103,0.34319,0.01431,5.071369,"bacteria_odb10","99.2","24.2","75","0.8","0","124","C:99.2%[S:24.2%,D:75.0%],F:0.8%,M:0.0%,n:124","C:21.1%[S:12.9%,D:8.2%],F:2.1%,M:76.8%,n:194","C:4.0%[S:2.0%,D:2.0%],F:2.7%,M:93.3%,n:255"
"13m_12.fa","taxid assigned","based on 27773/28177 ORFs","1;131567;2;1783272;201174;1760;52018;1883427","1.00;1.00;1.00;0.97;0.96;0.83;0.39;0.38","Bacteria","1.00","Actinobacteria: 0.96","Actinomycetia: 0.83",NA,NA,NA,"Actinobacteria bacterium: 0.38","13m","NCB",3693,26145790,0,761,8425,2742,3467,165375,0.45081,0.02271,26.14579,"bacteria_odb10","100","6.5","93.5","0","0","124","C:100.0%[S:6.5%,D:93.5%],F:0.0%,M:0.0%,n:124","C:23.7%[S:4.1%,D:19.6%],F:4.1%,M:72.2%,n:194","C:5.5%[S:0.4%,D:5.1%],F:2.4%,M:92.1%,n:255"
"13m_120.fa","taxid assigned (1/2)","based on 5408/5614 ORFs","1;131567;2;1783270;68336;1090;191410;191411;191412;274493;1091;2685105;1095","1.00;1.00;1.00;0.95;0.95;0.95;0.94;0.94;0.94;0.83;0.35;0.34;0.34","Bacteria","1.00","Chlorobi: 0.95","Chlorobia: 0.94","Chlorobiales: 0.94","Chlorobiaceae: 0.94","Chlorobium: 0.35","Chlorobium sp.: 0.34","13m","NCB",374,5781982,0,40,32696,226,6087,243068,0.47736,0.02745,5.781982,"bacteria_odb10","92.7","15.3","77.4","4.8","2.5","124","C:92.7%[S:15.3%,D:77.4%],F:4.8%,M:2.5%,n:124","C:19.5%[S:1.5%,D:18.0%],F:4.1%,M:76.4%,n:194","C:4.7%[S:2.0%,D:2.7%],F:2.4%,M:92.9%,n:255"
"13m_13.fa","taxid assigned","based on 4911/5161 ORFs","1;131567;2;1783270;68336;976;768503;768507;89373;105","1.00;1.00;1.00;0.97;0.97;0.97;0.90;0.86;0.86;0.79","Bacteria","1.00","Bacteroidetes: 0.97","Cytophagia: 0.90","Cytophagales: 0.86","Cytophagaceae: 0.86","Runella: 0.79","no support","13m","NCB",1848,4276800,0,522,2548,1476,1286,29837,0.43365,0.02774,4.2768,"bacteria_odb10","49.2","48.4","0.8","16.9","33.9","124","C:49.2%[S:48.4%,D:0.8%],F:16.9%,M:33.9%,n:124","C:9.8%[S:9.3%,D:0.5%],F:6.2%,M:84.0%,n:194","C:1.6%[S:1.6%,D:0.0%],F:1.2%,M:97.2%,n:255"
"13m_130.fa","taxid assigned","based on 1485/3887 ORFs","1;131567;2759;2698737","1.00;0.99;0.66;0.34","Eukaryota","0.66","no support","no support","no support","no support","no support","no support","13m","NCB",2740,4127122,0,1018,1487,2344,1075,8163,0.74795,0.03668,4.127122,"eukaryota_odb10","3.9","3.9","0","7.5","88.6","255","C:2.4%[S:2.4%,D:0.0%],F:7.3%,M:90.3%,n:124","C:1.5%[S:1.5%,D:0.0%],F:3.1%,M:95.4%,n:194","C:3.9%[S:3.9%,D:0.0%],F:7.5%,M:88.6%,n:255"
"13m_132.fa","taxid assigned","based on 1922/1991 ORFs","1;131567;2;1224;28216","1.00;0.99;0.98;0.65;0.54","Bacteria","0.98","Proteobacteria: 0.65","Betaproteobacteria: 0.54","no support","no support","no support","no support","13m","NCB",417,1809889,0,75,6436,290,1862,32981,0.49543,0.03214,1.809889,"betaproteobacteria_odb10","88.1","84.2","3.9","6.3","5.6","569","C:90.3%[S:86.3%,D:4.0%],F:6.5%,M:3.2%,n:124","C:16.0%[S:15.5%,D:0.5%],F:4.6%,M:79.4%,n:194","C:3.9%[S:3.9%,D:0.0%],F:1.6%,M:94.5%,n:255"
"13m_137.fa","taxid assigned","based on 3040/3276 ORFs","1;131567;2;1783270;68336;976;768503;768507;89373;312278","1.00;1.00;0.99;0.97;0.97;0.97;0.88;0.88;0.87;0.79","Bacteria","0.99","Bacteroidetes: 0.97","Cytophagia: 0.88","Cytophagales: 0.88","Cytophagaceae: 0.87","Emticicia: 0.79","no support","13m","NCB",1136,2784680,0,336,2691,906,1387,28053,0.35995,0.02507,2.78468,"bacteria_odb10","31.5","31.5","0","17.7","50.8","124","C:31.5%[S:31.5%,D:0.0%],F:17.7%,M:50.8%,n:124","C:10.3%[S:9.8%,D:0.5%],F:4.6%,M:85.1%,n:194","C:1.6%[S:1.6%,D:0.0%],F:2.4%,M:96.0%,n:255"
"13m_140.fa","taxid assigned","based on 2700/3024 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.96;0.64;0.64;0.60","Bacteria","0.96","Bacteroidetes: 0.60","no support","no support","no support","no support","no support","13m","NCB",807,2725738,0,196,4150,607,1714,19043,0.43114,0.02476,2.725738,"bacteria_odb10","62.1","62.1","0","13.7","24.2","124","C:62.1%[S:62.1%,D:0.0%],F:13.7%,M:24.2%,n:124","C:10.8%[S:10.8%,D:0.0%],F:3.6%,M:85.6%,n:194","C:2.0%[S:2.0%,D:0.0%],F:2.4%,M:95.6%,n:255"
"13m_144.fa","taxid assigned","based on 1971/2178 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.99;0.91;0.90;0.87","Bacteria","0.99","Bacteroidetes: 0.87","no support","no support","no support","no support","no support","13m","NCB",1016,2136264,0,348,2315,832,1308,20077,0.47377,0.02924,2.136264,"bacteria_odb10","23.4","23.4","0","15.3","61.3","124","C:23.4%[S:23.4%,D:0.0%],F:15.3%,M:61.3%,n:124","C:8.8%[S:8.8%,D:0.0%],F:4.6%,M:86.6%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.2%,M:97.6%,n:255"
"13m_147.fa","taxid assigned","based on 2424/2452 ORFs","1;131567;2;1783272;201174;1760","1.00;1.00;0.99;0.92;0.91;0.45","Bacteria","0.99","Actinobacteria: 0.91","Actinomycetia: 0.45","no support","no support","no support","no support","13m","NCB",290,2297411,0,45,13729,182,3186,65335,0.48294,0.01223,2.297411,"bacteria_odb10","85.5","31.5","54","2.4","12.1","124","C:85.5%[S:31.5%,D:54.0%],F:2.4%,M:12.1%,n:124","C:15.9%[S:4.6%,D:11.3%],F:4.1%,M:80.0%,n:194","C:2.8%[S:0.8%,D:2.0%],F:2.4%,M:94.8%,n:255"
"13m_148.fa","taxid assigned","based on 4176/4392 ORFs","1;131567;2;1783257;74201","1.00;1.00;0.99;0.90;0.89","Bacteria","0.99","Verrucomicrobia: 0.89","no support","no support","no support","no support","no support","13m","NCB",941,4466126,0,140,7395,636,1911,102948,0.62096,0.02654,4.466126,"bacteria_odb10","73.4","58.9","14.5","12.1","14.5","124","C:73.4%[S:58.9%,D:14.5%],F:12.1%,M:14.5%,n:124","C:12.4%[S:9.3%,D:3.1%],F:4.1%,M:83.5%,n:194","C:2.8%[S:1.6%,D:1.2%],F:0.8%,M:96.4%,n:255"
"13m_149.fa","taxid assigned","based on 6946/7632 ORFs","1;131567;2;1783270;68336;976;200643","1.00;1.00;0.99;0.83;0.83;0.78;0.38","Bacteria","0.99","Bacteroidetes: 0.78","Bacteroidia: 0.38","no support","no support","no support","no support","13m","NCB",3633,5870509,0,1285,1617,3074,1095,6687,0.40934,0.03286,5.870509,"bacteroidia_odb10","35.7","28.1","7.6","12.6","51.7","538","C:43.6%[S:33.9%,D:9.7%],F:17.7%,M:38.7%,n:124","C:6.1%[S:4.6%,D:1.5%],F:6.7%,M:87.2%,n:194","C:2.8%[S:2.4%,D:0.4%],F:1.2%,M:96.0%,n:255"
"13m_150.fa","taxid assigned","based on 2811/3027 ORFs","1;131567;2;1783257;74201;203494;48461;134621;1032526;2638824;2024890","1.00;1.00;1.00;0.78;0.76;0.54;0.54;0.54;0.54;0.54;0.54","Bacteria","1.00","Verrucomicrobia: 0.76","Verrucomicrobiae: 0.54","Verrucomicrobiales: 0.54","Verrucomicrobia subdivision 3: 0.54","Pedosphaera: 0.54","Pedosphaera sp.: 0.54","13m","NCB",1084,2790967,0,300,2884,854,1413,24447,0.60408,0.02565,2.790967,"bacteria_odb10","45.2","44.4","0.8","16.9","37.9","124","C:45.2%[S:44.4%,D:0.8%],F:16.9%,M:37.9%,n:124","C:6.2%[S:6.2%,D:0.0%],F:4.1%,M:89.7%,n:194","C:2.7%[S:2.7%,D:0.0%],F:0.4%,M:96.9%,n:255"
"13m_151.fa","taxid assigned","based on 1644/1715 ORFs","1;131567;2;1783257;74201;414999;415000;134623","1.00;1.00;1.00;0.97;0.96;0.94;0.48;0.48","Bacteria","1.00","Verrucomicrobia: 0.96","Opitutae: 0.94","Opitutales: 0.48","Opitutaceae: 0.48","no support","no support","13m","NCB",682,1290624,0,212,2008,563,1139,9766,0.55898,0.02914,1.290624,"bacteria_odb10","40.3","40.3","0","16.9","42.8","124","C:40.3%[S:40.3%,D:0.0%],F:16.9%,M:42.8%,n:124","C:4.6%[S:4.6%,D:0.0%],F:3.1%,M:92.3%,n:194","C:0.8%[S:0.8%,D:0.0%],F:1.2%,M:98.0%,n:255"
"13m_152.fa","taxid assigned","based on 1902/2752 ORFs","1;131567;2","1.00;0.66;0.61","Bacteria","0.61","no support","no support","no support","no support","no support","no support","13m","NCB",384,1935735,0,62,7814,259,2154,71332,0.31924,0.02424,1.935735,"archaea_odb10","0.5","0.5","0","0.5","99","194","C:0.8%[S:0.0%,D:0.8%],F:0.8%,M:98.4%,n:124","C:0.5%[S:0.5%,D:0.0%],F:0.5%,M:99.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_154.fa","taxid assigned","based on 8395/11008 ORFs","1;131567;2","1.00;0.77;0.55","Bacteria","0.55","no support","no support","no support","no support","no support","no support","13m","NCB",852,9156134,0,100,18987,551,4343,189016,0.33301,0.03691,9.156134,"bacteria_odb10","75.8","20.2","55.6","6.5","17.7","124","C:75.8%[S:20.2%,D:55.6%],F:6.5%,M:17.7%,n:124","C:12.9%[S:5.2%,D:7.7%],F:4.6%,M:82.5%,n:194","C:3.2%[S:2.4%,D:0.8%],F:0.8%,M:96.0%,n:255"
"13m_158.fa","taxid assigned","based on 2350/2454 ORFs","1;131567;2;1224;28216;33809;1891241","1.00;0.99;0.98;0.88;0.80;0.58;0.58","Bacteria","0.98","Proteobacteria: 0.88","Betaproteobacteria: 0.80",NA,NA,NA,"Betaproteobacteria bacterium: 0.58","13m","NCB",1112,1733030,0,399,1526,946,1079,11996,0.65381,0.03309,1.73303,"burkholderiales_odb10","15.5","15.1","0.4","10.2","74.3","688","C:18.5%[S:18.5%,D:0.0%],F:18.5%,M:63.0%,n:124","C:1.5%[S:1.5%,D:0.0%],F:2.6%,M:95.9%,n:194","C:0.8%[S:0.8%,D:0.0%],F:1.6%,M:97.6%,n:255"
"13m_159.fa","taxid assigned","based on 1910/1975 ORFs","1;131567;2;1224","1.00;1.00;0.98;0.90","Bacteria","0.98","Proteobacteria: 0.90","no support","no support","no support","no support","no support","13m","NCB",670,1495110,0,187,2449,535,1219,12566,0.29165,0.0304,1.49511,"bacteria_odb10","70.1","42.7","27.4","16.9","13","124","C:70.1%[S:42.7%,D:27.4%],F:16.9%,M:13.0%,n:124","C:11.9%[S:6.7%,D:5.2%],F:6.2%,M:81.9%,n:194","C:4.0%[S:2.4%,D:1.6%],F:0.8%,M:95.2%,n:255"
"13m_161.fa","taxid assigned","based on 2004/6318 ORFs","1;131567;2759;2698737;33634;2696291;2836;33849;33850","1.00;0.97;0.79;0.73;0.73;0.72;0.72;0.53;0.53","Eukaryota","0.79","Bacillariophyta: 0.72","Bacillariophyceae: 0.53","no support","no support","no support","no support","13m","NCB",3735,5878199,0,1366,1573,3173,1093,7526,0.40608,0.02751,5.878199,"eukaryota_odb10","4.3","4.3","0","3.1","92.6","255","C:1.6%[S:1.6%,D:0.0%],F:5.6%,M:92.8%,n:124","C:3.6%[S:3.6%,D:0.0%],F:3.1%,M:93.3%,n:194","C:4.3%[S:4.3%,D:0.0%],F:3.1%,M:92.6%,n:255"
"13m_162.fa","taxid assigned","based on 3792/3972 ORFs","1;131567;2;1783270;68336;976;1853228","1.00;1.00;0.99;0.90;0.90;0.89;0.57","Bacteria","0.99","Bacteroidetes: 0.89","Chitinophagia: 0.57","no support","no support","no support","no support","13m","NCB",1415,3184183,0,434,2484,1139,1307,13935,0.34865,0.02099,3.184183,"bacteria_odb10","47.6","40.3","7.3","8.1","44.3","124","C:47.6%[S:40.3%,D:7.3%],F:8.1%,M:44.3%,n:124","C:9.3%[S:5.7%,D:3.6%],F:5.7%,M:85.0%,n:194","C:2.0%[S:1.6%,D:0.4%],F:1.6%,M:96.4%,n:255"
"13m_163.fa","taxid assigned","based on 8983/9804 ORFs","1;131567;2;1783270;68336;976","1.00;1.00;0.99;0.90;0.89;0.87","Bacteria","0.99","Bacteroidetes: 0.87","no support","no support","no support","no support","no support","13m","NCB",982,11753104,0,105,22736,628,4482,187892,0.41823,0.03502,11.753104,"bacteria_odb10","97.6","37.9","59.7","2.4","0","124","C:97.6%[S:37.9%,D:59.7%],F:2.4%,M:0.0%,n:124","C:21.6%[S:7.7%,D:13.9%],F:3.1%,M:75.3%,n:194","C:4.3%[S:0.8%,D:3.5%],F:2.0%,M:93.7%,n:255"
"13m_164.fa","taxid assigned","based on 12004/18095 ORFs","1;131567;2759;33090;3041;2692248;75966;35460;35461;2511126;3071;1962113;1650286","1.00;1.00;0.98;0.98;0.97;0.96;0.91;0.89;0.89;0.82;0.54;0.40;0.40","Eukaryota","0.98","Chlorophyta: 0.97","Trebouxiophyceae: 0.91","Chlorellales: 0.89","Chlorellaceae: 0.89","Chlorella: 0.54","Chlorella desiccata (nom. nud.): 0.40","13m","NCB",1232,19443842,0,256,21967,845,7467,125257,0.71392,0.0316,19.443842,"chlorophyta_odb10","94.5","93.8","0.7","1.4","4.1","1519","C:36.3%[S:33.1%,D:3.2%],F:31.5%,M:32.2%,n:124","C:36.6%[S:34.5%,D:2.1%],F:16.5%,M:46.9%,n:194","C:81.6%[S:81.6%,D:0.0%],F:7.5%,M:10.9%,n:255"
"13m_165.fa","taxid assigned","based on 1377/1659 ORFs","1;131567;2;1783270;68336;976","1.00;0.84;0.82;0.55;0.55;0.54","Bacteria","0.82","Bacteroidetes: 0.54","no support","no support","no support","no support","no support","13m","NCB",953,2019317,0,269,2233,768,1196,32291,0.38514,0.04236,2.019317,"archaea_odb10","0","0","0","0.5","99.5","194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:124","C:0.0%[S:0.0%,D:0.0%],F:0.5%,M:99.5%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.0%,M:100.0%,n:255"
"13m_167.fa","taxid assigned","based on 10053/10605 ORFs","1;131567;2;1224;28216","1.00;1.00;0.99;0.71;0.43","Bacteria","0.99","Proteobacteria: 0.71","Betaproteobacteria: 0.43","no support","no support","no support","no support","13m","NCB",1089,10367886,0,184,12049,772,4304,219653,0.40743,0.03798,10.367886,"bacteria_odb10","99.2","14.5","84.7","0.8","0","124","C:99.2%[S:14.5%,D:84.7%],F:0.8%,M:0.0%,n:124","C:23.2%[S:10.3%,D:12.9%],F:5.2%,M:71.6%,n:194","C:7.1%[S:2.4%,D:4.7%],F:2.7%,M:90.2%,n:255"
"13m_173.fa","taxid assigned","based on 17367/17826 ORFs","1;131567;2;1224;28216;80840","1.00;0.99;0.99;0.89;0.75;0.40","Bacteria","0.99","Proteobacteria: 0.89","Betaproteobacteria: 0.75","Burkholderiales: 0.40","no support","no support","no support","13m","NCB",2512,16242180,0,588,7520,1908,3356,74451,0.56898,0.04,16.24218,"bacteria_odb10","100","9.7","90.3","0","0","124","C:100.0%[S:9.7%,D:90.3%],F:0.0%,M:0.0%,n:124","C:19.6%[S:1.0%,D:18.6%],F:3.1%,M:77.3%,n:194","C:7.1%[S:2.4%,D:4.7%],F:2.0%,M:90.9%,n:255"
"13m_184.fa","taxid assigned (1/2)","based on 1958/24090 ORFs","1;131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;197563;197562;6657;2172821","1.00;0.96;0.55;0.53;0.52;0.52;0.49;0.45;0.42;0.42;0.42;0.40;0.40;0.34;0.30","Eukaryota","0.55","Arthropoda: 0.42","no support","no support","no support","no support","no support","13m","NCB",26119,38218766,0,10121,1466,22460,1070,7618,0.34005,0.02313,38.218766,"mollicutes_odb10","4","3.3","0.7","0","96","151","C:5.6%[S:5.6%,D:0.0%],F:2.4%,M:92.0%,n:124","C:1.5%[S:1.0%,D:0.5%],F:1.5%,M:97.0%,n:194","C:0.0%[S:0.0%,D:0.0%],F:0.8%,M:99.2%,n:255"
"13m_186.fa","taxid assigned","based on 18207/22342 ORFs","1;131567;2;1783270;68336;976","1.00;0.95;0.91;0.56;0.56;0.50","Bacteria","0.91","Bacteroidetes: 0.50","no support","no support","no support","no support","no support","13m","NCB",9725,15494788,0,3421,1574,8251,1083,20047,0.34079,0.03298,15.494788,"bacteria_odb10","81.5","33.1","48.4","14.5","4","124","C:81.5%[S:33.1%,D:48.4%],F:14.5%,M:4.0%,n:124","C:17.0%[S:9.8%,D:7.2%],F:7.7%,M:75.3%,n:194","C:3.5%[S:2.7%,D:0.8%],F:3.1%,M:93.4%,n:255"
"13m_192.fa","taxid assigned","based on 5745/6180 ORFs","1;131567;2;1783257;74201;414999","1.00;1.00;1.00;0.85;0.83;0.58","Bacteria","1.00","Verrucomicrobia: 0.83","Opitutae: 0.58","no support","no support","no support","no support","13m","NCB",1554,6340030,0,408,4623,1199,2207,37669,0.63396,0.02535,6.34003,"bacteria_odb10","55.6","53.2","2.4","18.5","25.9","124","C:55.6%[S:53.2%,D:2.4%],F:18.5%,M:25.9%,n:124","C:9.8%[S:9.8%,D:0.0%],F:4.6%,M:85.6%,n:194","C:1.6%[S:1.6%,D:0.0%],F:1.2%,M:97.2%,n:255"
"13m_193.fa","taxid assigned","based on 5165/6787 ORFs","1;131567;2","1.00;0.71;0.67","Bacteria","0.67","no support","no support","no support","no support","no support","no support","13m","NCB",3113,4487313,0,1150,1363,2680,1047,24636,0.445,0.03804,4.487313,"bacteria_odb10","16.1","14.5","1.6","20.2","63.7","124","C:16.1%[S:14.5%,D:1.6%],F:20.2%,M:63.7%,n:124","C:3.1%[S:3.1%,D:0.0%],F:4.1%,M:92.8%,n:194","C:1.2%[S:1.2%,D:0.0%],F:1.2%,M:97.6%,n:255"
"13m_196.fa","taxid assigned","based on 9607/10531 ORFs","1;131567;2;1224;1236;135618","1.00;1.00;0.99;0.61;0.53;0.50","Bacteria","0.99","Proteobacteria: 0.61","Gammaproteobacteria: 0.53","Methylococcales: 0.50","no support","no support","no support","13m","NCB",663,10907130,0,57,34397,405,6204,824061,0.39279,0.02926,10.90713,"bacteria_odb10","99.2","8.9","90.3","0","0.8","124","C:99.2%[S:8.9%,D:90.3%],F:0.0%,M:0.8%,n:124","C:23.7%[S:6.2%,D:17.5%],F:7.2%,M:69.1%,n:194","C:7.4%[S:3.1%,D:4.3%],F:2.0%,M:90.6%,n:255"
